X,Y
1721.919,1597.596
858.4044,1599.603
2146.817,1601.024
2715.818,1601.597
2476.282,1596.051
3283.621,1597.81
1168.2,1600.227
1524.375,1598.438
2400.461,1598.154
2554.4,1599.76
2015.967,1600.6
1218.758,1603.061
2707.92,1601.48
1275.617,1603.167
1626.949,1603.797
1865.333,1603.767
1080.14,1604.842
2547.167,1608.188
1375.95,1606.35
1499.857,1608.74
1701.067,1609.333
1226.128,1613.192
1531.067,1609.4
3100.551,1612.755
1205.032,1613.774
2295.879,1613.759
2902,1614.169
3266.097,1614.731
1681.823,1612.823
2555.857,1615.057
2659.588,1612.882
2521.432,1615.784
2044.135,1617.18
3134.039,1616.673
853.0375,1620.1
2033.6,1615.6
2128.219,1618.563
2243.353,1620.255
2547.421,1616.684
1143.075,1619.836
1199.805,1618.61
